Date,Max Air Temp,Min Air Temp,Avg Air Temp,Precipitation,Avg Wind Speed,Avg Wind Direction,Max Solar Radiation,Stations,Year,Month,Week
1/15/1991,10.7,2.6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,3
1/16/1991,18.7,2.6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,3
1/17/1991,21.1,9.8,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,3
1/18/1991,14.6,5.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,3
1/19/1991,14.2,3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,3
1/20/1991,14.6,6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,4
1/21/1991,14.6,6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,4
1/22/1991,14.6,2.6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,4
1/23/1991,3.8,-0.8,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,4
1/24/1991,9.2,-0.8,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,4
1/25/1991,4.7,7.9,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,4
1/26/1991,6.7,2.6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,4
1/27/1991,10.7,0.2,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,5
1/28/1991,11.7,1.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,5
1/29/1991,12.7,12.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,5
1/30/1991,15.2,14.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,5
1/31/1991,17.6,17.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,1,5
2/1/1991,15.6,5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,5
2/2/1991,9.7,3.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,5
2/3/1991,16.2,6.9,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,6
2/4/1991,17.6,6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,6
2/5/1991,18.7,6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,6
2/6/1991,19.1,9.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,6
2/7/1991,19.1,12.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,6
2/8/1991,15.6,14.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,6
2/9/1991,12.7,6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,6
2/10/1991,16.2,5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,7
2/11/1991,15.2,4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,7
2/12/1991,12.7,4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,7
2/13/1991,10.2,4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,7
2/14/1991,16.2,12.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,7
2/15/1991,19.1,7.9,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,7
2/16/1991,7.2,-1.8,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,7
2/17/1991,2.2,-2.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,8
2/18/1991,10.7,-0.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,8
2/19/1991,18.1,13.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,8
2/20/1991,17.6,19,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,8
2/21/1991,21.6,18.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,8
2/22/1991,17.6,15.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,8
2/23/1991,18.7,12.2,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,8
2/24/1991,8.2,7.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,9
2/25/1991,7.7,7.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,9
2/26/1991,13.1,11.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,9
2/27/1991,8.2,2.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,9
2/28/1991,11.2,3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,2,9
3/1/1991,17.1,5.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,9
3/2/1991,18.1,13.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,9
3/3/1991,18.7,13.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,10
3/4/1991,18.7,15.6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,10
3/5/1991,11.7,6.9,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,10
3/6/1991,13.7,6.9,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,10
3/7/1991,18.7,12.2,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,10
3/8/1991,22.6,11.3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,10
3/9/1991,11.7,4.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,10
3/10/1991,13.7,3.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,11
3/11/1991,8.7,3.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,11
3/12/1991,13.7,3.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,11
3/13/1991,11.2,4.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,11
3/14/1991,14.2,11.3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,11
3/15/1991,18.1,9.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,11
3/16/1991,11.7,4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,11
3/17/1991,14.2,6.9,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,12
3/18/1991,15.2,6.9,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,12
3/19/1991,20.1,6.9,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,12
3/20/1991,20.1,5.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,12
3/21/1991,18.1,11.3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,12
3/22/1991,20.6,15.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,12
3/23/1991,22.1,18.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,12
3/24/1991,22.1,18.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,13
3/25/1991,25.1,9.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,13
3/26/1991,25.1,9.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,13
3/27/1991,21.1,15.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,13
3/28/1991,22.6,20.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,13
3/29/1991,21.1,20,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,13
3/30/1991,21.6,19.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,13
3/31/1991,20.1,10.3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,3,14
4/1/1991,14.6,6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,14
4/2/1991,20.1,5.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,14
4/3/1991,20.1,8.3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,14
4/4/1991,20.6,15.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,14
4/5/1991,20.1,15.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,14
4/6/1991,21.6,16.6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,14
4/7/1991,23.6,14.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,15
4/8/1991,23.6,16.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,15
4/9/1991,24.1,19.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,15
4/10/1991,24.6,19.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,15
4/11/1991,24.1,16.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,15
4/12/1991,18.7,17,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,15
4/13/1991,19.1,17,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,15
4/14/1991,21.1,18.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,16
4/15/1991,23.6,17,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,16
4/16/1991,24.1,19,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,16
4/17/1991,24.1,19.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,16
4/18/1991,24.1,20,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,16
4/19/1991,24.1,17,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,16
4/20/1991,17.6,17,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,16
4/21/1991,17.6,15.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,17
4/22/1991,17.6,10.3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,17
4/23/1991,12.7,11.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,17
4/24/1991,21.1,12.2,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,17
4/25/1991,23.1,13.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,17
4/26/1991,17.1,15.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,17
4/27/1991,22.1,15.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,17
4/28/1991,25.1,18.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,18
4/29/1991,25.1,18.5,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,18
4/30/1991,26.5,22.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,4,18
5/1/1991,26.1,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,18
5/2/1991,26.5,21.9,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,18
5/3/1991,25.5,13.2,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,18
5/4/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,18
5/5/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,19
5/6/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,19
5/7/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,19
5/8/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,19
5/9/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,19
5/10/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,19
5/11/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,19
5/12/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,20
5/13/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,20
5/14/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,20
5/15/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,20
5/16/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,20
5/17/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,20
5/18/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,20
5/19/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,21
5/20/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,21
5/21/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,21
5/22/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,21
5/23/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,21
5/24/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,21
5/25/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,21
5/26/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,22
5/27/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,22
5/28/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,22
5/29/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,22
5/30/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,22
5/31/1991,NA,NA,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,5,22
6/1/1991,29.6,24.3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,6,22
6/2/1991,30,21.9,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,6,23
6/3/1991,28,22.8,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,6,23
6/4/1991,29,24.3,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,6,23
6/5/1991,32.1,21.4,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,6,23
6/6/1991,24.1,17,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,6,23
6/7/1991,21.1,16.6,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,6,23
6/8/1991,23.1,16.1,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,6,23
6/9/1991,26.1,14.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,6,24
6/10/1991,25.5,14.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,6,24
6/11/1991,25.5,14.7,NA,NA,NA,NA,NA,"Air Temperatures - Southport COOP (Converted to NCSU BALD); Precipitation, Wind & Solar Radiation - NA",1991,6,24
